Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
16/01/2020;14:35:59;dia;32,6 °C; 32,3 °C; 37,1 °C; 40,6 °C; 29,2 °C; 26,5 °C;54,70%;;;
16/01/2020;14:37:59;dia;32,8 °C; 32,4 °C; 37,5 °C; 41,9 °C; 28,9 °C; 25,8 °C;51,50%;;;
16/01/2020;14:39:59;dia;33,3 °C; 32,8 °C; 38,3 °C; 43,3 °C; 29,0 °C; 25,7 °C;49,00%;;;
16/01/2020;14:41:59;dia;33,5 °C; 33,0 °C; 38,3 °C; 43,8 °C; 29,1 °C; 25,8 °C;49,40%;;;
16/01/2020;14:43:59;dia;33,3 °C; 32,8 °C; 38,1 °C; 43,3 °C; 29,0 °C; 25,7 °C;49,40%;;;
16/01/2020;14:45:59;dia;33,7 °C; 33,1 °C; 38,1 °C; 44,4 °C; 29,1 °C; 25,9 °C;50,00%;;;
16/01/2020;14:47:59;dia;33,4 °C; 32,9 °C; 38,5 °C; 43,6 °C; 29,0 °C; 25,5 °C;48,00%;;;
16/01/2020;14:49:59;dia;32,4 °C; 31,9 °C; 37,4 °C; 42,3 °C; 28,1 °C; 24,6 °C;48,20%;;;
16/01/2020;14:51:59;dia;32,4 °C; 31,9 °C; 37,0 °C; 42,2 °C; 28,2 °C; 24,9 °C;50,00%;;;
16/01/2020;14:53:59;dia;32,8 °C; 32,3 °C; 37,7 °C; 42,3 °C; 28,7 °C; 25,4 °C;49,60%;;;
16/01/2020;14:55:59;dia;32,5 °C; 32,0 °C; 37,5 °C; 42,1 °C; 28,4 °C; 25,0 °C;49,20%;;;
16/01/2020;14:57:59;dia;32,0 °C; 31,7 °C; 37,4 °C; 41,0 °C; 28,2 °C; 24,8 °C;48,70%;;;
16/01/2020;14:59:59;dia;32,1 °C; 31,7 °C; 36,9 °C; 40,9 °C; 28,3 °C; 25,2 °C;51,30%;;;
16/01/2020;15:01:59;dia;32,4 °C; 32,0 °C; 37,6 °C; 41,4 °C; 28,5 °C; 25,2 °C;49,40%;;;
16/01/2020;15:03:59;dia;33,7 °C; 33,1 °C; 38,7 °C; 44,8 °C; 28,9 °C; 25,4 °C;47,20%;;;
16/01/2020;15:05:59;dia;33,2 °C; 32,6 °C; 37,4 °C; 44,3 °C; 28,5 °C; 25,3 °C;50,30%;;;
16/01/2020;15:07:59;dia;33,6 °C; 32,9 °C; 38,8 °C; 45,2 °C; 28,6 °C; 24,7 °C;45,00%;;;
16/01/2020;15:09:59;dia;33,4 °C; 32,9 °C; 39,3 °C; 44,9 °C; 28,5 °C; 24,4 °C;43,00%;;;
16/01/2020;15:11:59;dia;34,0 °C; 33,3 °C; 40,1 °C; 46,2 °C; 28,7 °C; 24,4 °C;41,10%;;;
16/01/2020;15:13:59;dia;34,3 °C; 33,6 °C; 40,6 °C; 47,1 °C; 28,8 °C; 24,3 °C;39,80%;;;
16/01/2020;15:15:59;dia;33,2 °C; 32,7 °C; 39,2 °C; 43,9 °C; 28,6 °C; 24,5 °C;43,50%;;;
16/01/2020;15:17:59;dia;32,4 °C; 32,1 °C; 38,9 °C; 42,5 °C; 28,1 °C; 23,8 °C;42,40%;;;
16/01/2020;15:19:59;dia;32,7 °C; 32,3 °C; 38,9 °C; 43,5 °C; 28,1 °C; 23,8 °C;42,40%;;;
16/01/2020;15:21:59;dia;32,8 °C; 32,3 °C; 38,7 °C; 44,3 °C; 27,9 °C; 23,6 °C;42,40%;;;
16/01/2020;15:23:59;dia;32,6 °C; 32,1 °C; 38,3 °C; 42,5 °C; 28,3 °C; 24,5 °C;45,50%;;;
16/01/2020;15:25:59;dia;32,7 °C; 32,2 °C; 38,0 °C; 43,2 °C; 28,2 °C; 24,4 °C;46,10%;;;
16/01/2020;15:27:59;dia;31,8 °C; 31,5 °C; 37,8 °C; 41,3 °C; 27,8 °C; 23,9 °C;45,10%;;;
16/01/2020;15:29:59;dia;31,8 °C; 31,6 °C; 38,4 °C; 40,6 °C; 28,0 °C; 23,9 °C;43,70%;;;
16/01/2020;15:31:59;dia;32,0 °C; 31,8 °C; 38,9 °C; 41,1 °C; 28,1 °C; 23,9 °C;42,50%;;;
16/01/2020;15:33:59;dia;32,4 °C; 32,2 °C; 39,5 °C; 41,6 °C; 28,4 °C; 24,0 °C;41,50%;;;
16/01/2020;15:35:59;dia;32,5 °C; 32,3 °C; 39,9 °C; 41,9 °C; 28,5 °C; 24,1 °C;40,80%;;;
16/01/2020;15:37:59;dia;32,6 °C; 32,5 °C; 40,2 °C; 41,8 °C; 28,7 °C; 24,2 °C;40,40%;;;
16/01/2020;15:39:59;dia;32,8 °C; 32,6 °C; 40,5 °C; 41,8 °C; 28,9 °C; 24,4 °C;40,30%;;;
16/01/2020;15:41:59;dia;32,8 °C; 32,7 °C; 40,7 °C; 41,9 °C; 28,9 °C; 24,4 °C;39,80%;;;
16/01/2020;15:43:59;dia;32,8 °C; 32,7 °C; 40,8 °C; 41,8 °C; 28,9 °C; 24,4 °C;39,70%;;;
16/01/2020;15:45:59;dia;32,9 °C; 32,8 °C; 40,9 °C; 41,9 °C; 29,0 °C; 24,5 °C;39,60%;;;
16/01/2020;15:47:59;dia;33,0 °C; 32,9 °C; 41,0 °C; 42,0 °C; 29,1 °C; 24,6 °C;39,70%;;;
16/01/2020;15:49:59;dia;33,0 °C; 32,9 °C; 41,0 °C; 42,0 °C; 29,1 °C; 24,5 °C;39,40%;;;
16/01/2020;15:51:59;dia;33,0 °C; 32,9 °C; 41,1 °C; 42,1 °C; 29,1 °C; 24,6 °C;39,40%;;;
16/01/2020;15:53:59;dia;33,2 °C; 33,0 °C; 41,2 °C; 42,4 °C; 29,2 °C; 24,6 °C;39,30%;;;
16/01/2020;15:55:59;dia;33,2 °C; 33,1 °C; 41,3 °C; 42,5 °C; 29,2 °C; 24,7 °C;39,20%;;;
16/01/2020;15:57:59;dia;33,2 °C; 33,1 °C; 41,3 °C; 42,5 °C; 29,2 °C; 24,6 °C;39,00%;;;
16/01/2020;15:59:59;dia;33,2 °C; 33,1 °C; 41,3 °C; 42,4 °C; 29,2 °C; 24,6 °C;39,00%;;;
16/01/2020;16:01:59;dia;33,1 °C; 33,0 °C; 41,3 °C; 42,2 °C; 29,2 °C; 24,7 °C;39,20%;;;
16/01/2020;16:03:59;dia;33,0 °C; 33,0 °C; 41,2 °C; 42,0 °C; 29,2 °C; 24,6 °C;39,20%;;;
16/01/2020;16:05:59;dia;33,0 °C; 32,9 °C; 41,2 °C; 41,9 °C; 29,2 °C; 24,7 °C;39,50%;;;
